Domain,Area,Element,Item,Year,Value
"Crops and livestock products","World","Production","Cereals, Total","1993","1904192339"
"Crops and livestock products","World","Production","Cereals, Total","2013","2759150063"
"Crops and livestock products","World","Production","Citrus Fruit, Total","1993","88387921"
"Crops and livestock products","World","Production","Citrus Fruit, Total","2013","138534694"
"Crops and livestock products","World","Production","Fruit Primary","1993","443709514"
"Crops and livestock products","World","Production","Fruit Primary","2013","806411483"
"Crops and livestock products","World","Production","Oilcrops","1993","383110563"
"Crops and livestock products","World","Production","Oilcrops","2013","940647852"
"Crops and livestock products","World","Production","Pulses, Total","1993","55578626"
"Crops and livestock products","World","Production","Pulses, Total","2013","78938615"
"Crops and livestock products","World","Production","Sugar Crops Primary","1993","1303831335"
"Crops and livestock products","World","Production","Sugar Crops Primary","2013","2147656836"
"Crops and livestock products","World","Production","Treenuts, Total","1993","5403992"
"Crops and livestock products","World","Production","Treenuts, Total","2013","13541894"
"Crops and livestock products","World","Production","Vegetables Primary","1993","462064122"
"Crops and livestock products","World","Production","Vegetables Primary","2013","996475492"
